Tamanho;Algoritmo;Cenario;Mediana_Tempo(ms);Media_Comparacoes
1000;1;1;1.000000;499065
1000;1;2;0.000000;999
1000;1;3;2.000000;499500
1000;1;4;1.000000;482295
1000;2;1;1.000000;255387
1000;2;2;0.000000;999
1000;2;3;1.000000;499500
1000;2;4;0.000000;62997
1000;3;1;0.000000;11548
1000;3;2;0.000000;9684
1000;3;3;0.000000;9684
1000;3;4;0.000000;10345
5000;1;1;57.000000;12487060
5000;1;2;0.000000;4999
5000;1;3;55.000000;12497500
5000;1;4;39.000000;12458440
5000;2;1;20.000000;6241031
5000;2;2;0.000000;4999
5000;2;3;37.000000;12497500
5000;2;4;4.000000;1364907
5000;3;1;1.000000;76651
5000;3;2;0.000000;57891
5000;3;3;0.000000;57891
5000;3;4;0.000000;64386
10000;1;1;262.000000;49994220
10000;1;2;0.000000;9999
10000;1;3;221.000000;49995000
10000;1;4;160.000000;49985409
10000;2;1;77.000000;24906495
10000;2;2;0.000000;9999
10000;2;3;154.000000;49995000
10000;2;4;19.000000;5935889
10000;3;1;2.000000;156973
10000;3;2;1.000000;125780
10000;3;3;1.000000;125780
10000;3;4;1.000000;138152
